time_us,centre_radiation_stress_pa,apex_dynamic_elevation_um,apex_velocity_m_s,positive_mound_volume_pl,volume_residual_fl,mechanical_energy_pj
202.39999999999998,0.0,4.033388952816401,-0.0016346372848304897,376.7321645145586,1.3537602449085392e-10,3.1030730452413757
202.5,0.0,4.033224633935397,-0.0016517403352758876,376.89661070544867,8.457129218765016e-11,3.102843035811376
202.6,0.0,4.033058605765814,-0.0016688230563953,377.0609848994396,8.054408779776205e-11,3.1026129161050333
202.7,0.0,4.032890870340829,-0.001685885443279227,377.22528703907506,4.77068827725206e-11,3.1023826860410453
202.79999999999998,0.0,4.032721429694114,-0.001702927491059582,377.38951706693933,3.748397932126619e-11,3.102152345539249
202.9,0.0,4.032550285859813,-0.0017199491949096346,377.55367492565705,1.133812928230035e-10,3.101921894520614
203.0,0.0,4.032377440872569,-0.0017369505500440027,377.71776055789303,8.333215237537689e-11,3.1016913329072424
203.1,0.0,4.032202896767478,-0.00175393155171859,377.88177390635286,1.130715078699352e-10,3.101460660622365
203.2,0.0,4.032026655580132,-0.0017708921952305705,378.04571491378243,6.443527023820965e-11,3.101229877590342
203.29999999999998,0.0,4.031848719346575,-0.00178783247591834,378.2095835229687,6.691354986275617e-11,3.1009989837366554
203.39999999999998,0.0,4.031669090103317,-0.0018047523891614895,378.37337967673943,9.200613106128974e-11,3.100767978987912
203.5,0.0,4.031487769887342,-0.0018216519303807567,378.53710331796316,6.350591537900469e-11,3.100536863271839
203.6,0.0,4.031304760736071,-0.001838531095038004,378.70075438954933,1.2236505646198467e-10,3.100305636517279
203.7,0.0,4.0311200646873875,-0.0018553898786361756,378.8643328344488,2.942957054148998e-11,3.1000742986541936
203.79999999999998,0.0,4.03093368377962,-0.0018722282767192529,379.0278385956537,9.386484077969962e-11,3.099842849613654
203.9,0.0,4.0307456200515395,-0.0018890462848722268,379.19127161619724,8.271258246924026e-11,3.099611289327845
204.0,0.0,4.03055587554236,-0.0019058438987210621,379.35463183915425,6.474505519127796e-11,3.099379617730059
204.1,0.0,4.030364452291729,-0.0019226211139326554,379.5179192076409,7.001139939343932e-11,3.099147834754693
204.20000000000002,0.0,4.03017135233972,-0.0019393779262147897,379.68113366481543,9.9131184981861e-12,3.0989159403372497
204.29999999999998,0.0,4.029976577726844,-0.001956114331316117,379.8442751538772,1.2701183075800938e-11,3.0986839344143315
204.39999999999998,0.0,4.029780130494028,-0.001972830325026103,380.0073436180681,8.271258246924026e-11,3.098451816923642
204.49999999999997,0.0,4.029582012682616,-0.0019895259031749964,380.1703390006713,7.310924892412248e-11,3.0982195878039778
204.6,0.0,4.029382226334377,-0.002006201061633789,380.33326124501247,6.691354986275617e-11,3.0979872469952334
204.7,0.0,4.029180773491476,-0.002022855796314174,380.4961102944594,5.235365706854534e-11,3.0977547944383925
204.79999999999998,0.0,4.0289776561965045,-0.0020394901031685203,380.6588860924219,3.5625269602856294e-11,3.0975222300755303
204.9,0.0,4.028772876492436,-0.0020561039781898127,380.8215885823521,3.252742007217314e-11,3.097289553849807
205.0,0.0,4.028566436422658,-0.0020726974174116388,380.9842177077449,1.3940322888074202e-11,3.0970567657054695
205.1,0.0,4.028358338030938,-0.002089270416908127,381.1467734121376,6.691354986275617e-11,3.096823865587844
